,Questions,Intent,Entity,Main_Entities,Questions_with_entities
312,Is there a lock/padlock in Connectivity Lock column?,information_seek,['connectivity lock'],['connection'],is there a lock/padlock in [connectivity lock](connection) column?
313,"I see a lock, why?",information_seek,['connectivity lock'],['connection'],"I see a lock, why?"
314,Why do I see a lock?,information_seek,['connectivity lock'],['connection'],Why do I see a lock?
315,"I saw a lock, why?",information_seek,['connectivity lock'],['connection'],"I saw a lock, why?"
316,Why do you see a lock?,information_seek,['connectivity lock'],['connection'],Why do you see a lock?
317,I see a lock why?,information_seek,['connectivity lock'],['connection'],I see a lock why?
318,Why did I see a lock?,information_seek,['connectivity lock'],['connection'],Why did I see a lock?
319,I see a lock and why?,information_seek,['connectivity lock'],['connection'],I see a lock and why?
320,How much does it cost to order a SIM card?,information_seek,"['sim', 'cost']","['inventory', 'None']",how much does it [cost](None) to order a [sim](inventory) card?
321,How much does it cost to get a SIM card?,information_seek,"['sim', 'cost']","['inventory', 'None']",how much does it [cost](None) to get a [sim](inventory) card?
322,How much does it cost to get a SIM?,information_seek,"['sim', 'cost']","['inventory', 'None']",how much does it [cost](None) to get a [sim](inventory)?
323,How much would it cost to order a SIM?,information_seek,"['sim', 'cost']","['inventory', 'None']",how much would it [cost](None) to order a [sim](inventory)?
324,How much does it cost to buy a SIM?,information_seek,"['sim', 'cost']","['inventory', 'None']",how much does it [cost](None) to buy a [sim](inventory)?
325,What is the difference between rows?,information_seek,"['row', 'view']","['attribute', 'attribute']",what is the difference between [row](attribute)s?
326,"What is the difference between rows, which one should I choose?",information_seek,"['row', 'view']","['attribute', 'attribute']","what is the difference between [row](attribute)s, which one should i choose?"
327,Why should I select more than 1 row?,information_seek,"['row', 'view']","['attribute', 'attribute']",why should i select more than 1 [row](attribute)?
328,Why should I select more than one row?,information_seek,"['row', 'view']","['attribute', 'attribute']",why should i select more than one [row](attribute)?
329,Why do I have to select more than 1 row?,information_seek,"['row', 'view']","['attribute', 'attribute']",why do i have to select more than 1 [row](attribute)?
330,Why should I choose more than 1 row?,information_seek,"['row', 'view']","['attribute', 'attribute']",why should i choose more than 1 [row](attribute)?
331,Why do I have to select more than one row?,information_seek,"['row', 'view']","['attribute', 'attribute']",why do i have to select more than one [row](attribute)?
332,Why do I need to select more than one row?,information_seek,"['row', 'view']","['attribute', 'attribute']",why do i need to select more than one [row](attribute)?
333,Can I select disabled rows?,Learn,"['row', 'view']","['attribute', 'attribute']",can i select disabled [row](attribute)s?
334,Can I select disabled rows as well?,Learn,"['row', 'view']","['attribute', 'attribute']",can i select disabled [row](attribute)s as well?
335,How can I select disabled rows?,Learn,"['row', 'view']","['attribute', 'attribute']",how can i select disabled [row](attribute)s?
336,Is it possible to select disabled rows?,Learn,"['row', 'view']","['attribute', 'attribute']",is it possible to select disabled [row](attribute)s?
337,How can I select disabled rows as well?,Learn,"['row', 'view']","['attribute', 'attribute']",how can i select disabled [row](attribute)s as well?
338,What are the billing states?,fetch,['billing state'],['option'],what are the [billing state](option)s?
339,What are some billing states?,fetch,['billing state'],['option'],what are some [billing state](option)s?
340,List billing states please,fetch,['billing state'],['option'],list [billing state](option)s please
341,What billing states do you want to list?,fetch,['billing state'],['option'],what [billing state](option)s do you want to list?
342,How do I list billing states?,fetch,['billing state'],['option'],how do i list [billing state](option)s?
343,What billing states do you have?,fetch,['billing state'],['option'],what [billing state](option)s do you have?
344,How do I change my plan name?,Learn,['plan'],['option'],how do i change my [plan](option) name?
345,How can I change my plan name?,Learn,['plan'],['option'],how can i change my [plan](option) name?
346,How do I change the name of my plan?,Learn,['plan'],['option'],how do i change the name of my [plan](option)?
347,Will the portal remember my selection if I apply a filter?,information_seek,"['portal', 'filter']","['page', 'widget']",will the [portal](page) remember my selection if i apply a [filter](widget)?
348,Will the portal remember my selection when I apply a filter?,information_seek,"['portal', 'filter']","['page', 'widget']",will the [portal](page) remember my selection when i apply a [filter](widget)?
349,Will the portal remember your selection if I apply a filter?,information_seek,"['portal', 'filter']","['page', 'widget']",will the [portal](page) remember your selection if i apply a [filter](widget)?
350,Why is NW connectivity disabled and vice versa?,Troubleshoot,['network connectivity'],['connection'],Why is NW connectivity disabled and vice versa?
351,Why is NW connectivity disabled?,Troubleshoot,['network connectivity'],['connection'],Why is NW connectivity disabled?
352,Why is NW connectivity enabled disabled?,Troubleshoot,['network connectivity'],['connection'],Why is NW connectivity enabled disabled?
353,Why is NW connectivity enabled?,Troubleshoot,['network connectivity'],['connection'],Why is NW connectivity enabled?
354,Why NW connectivity enabled is enabled?,Troubleshoot,['network connectivity'],['connection'],Why NW connectivity enabled is enabled?
355,Is NW connectivity enabled?,Troubleshoot,['network connectivity'],['connection'],Is NW connectivity enabled?
356,Why is NW connectivity enabled? Why?,Troubleshoot,['network connectivity'],['connection'],Why is NW connectivity enabled? Why?
357,I can't see connectivity lock,Troubleshoot,['connectivity lock'],['connection'],i can't see [connectivity lock](connection)
358,I can't see network connectivity,Troubleshoot,['network connectivity'],['connection'],i can't see [network connectivity](connection)
359,I can't see network in-session,Troubleshoot,['in-session'],['option'],i can't see network [in-session](option)
360,I can’t see billing state,Troubleshoot,['billing state'],['option'],i can’t see [billing state](option)
361,I can't see view,Troubleshoot,['view'],['attribute'],i can't see [view](attribute)
362,I can't see counters,Troubleshoot,['counters'],['widget.'],i can't see [counters](widget.)
363,I can't see column,Troubleshoot,['column'],['attribute'],i can't see [column](attribute)
364,I can't see row,Troubleshoot,['row'],['attribute'],i can't see [row](attribute)
365,I can't see subscription,Troubleshoot,['subscription'],['inventory'],i can't see [subscription](inventory)
366,I can't see custom fields,Troubleshoot,['custom fields'],['widget'],i can't see [custom fields](widget)
367,I can't see summary counter,Troubleshoot,['summary counter'],['widget'],i can't see [summary counter](widget)
368,I can't see settings,Troubleshoot,['settings'],['option'],i can't see [settings](option)
369,I can't see sim,Troubleshoot,['sim'],['inventory'],i can't see [sim](inventory)
370,I can't see filter,Troubleshoot,['filter'],['widget'],i can't see [filter](widget)
371,I can't see action,Troubleshoot,['action'],['widget'],i can't see [action](widget)
372,I can't see imsi,Troubleshoot,['imsi'],['identifier'],i can't see [imsi](identifier)
373,I can't see msisdn,Troubleshoot,['msisdn'],['identifier'],i can't see [msisdn](identifier)
374,I can't see imei,Troubleshoot,['imei'],['identifier'],i can't see [imei](identifier)
375,I can't see iccid,Troubleshoot,['iccid'],['identifier'],i can't see [iccid](identifier)
376,I can't see portal,Troubleshoot,['portal'],['page'],i can't see [portal](page)
377,I can't see state,Troubleshoot,['state'],['option'],i can't see [state](option)
378,I can't see announcement,Troubleshoot,['announcement'],['page'],i can't see [announcement](page)
379,I can't see euicc,Troubleshoot,['euicc'],['inventory'],i can't see [euicc](inventory)
380,I can't see plan,Troubleshoot,['plan'],['option'],i can't see [plan](option)
